"*04xec*","F","Matt Boldy","MIN","F","Act","22","9.5","1.19","8","4","5","0","28","0","2","0","5"
"*02wy7*","F","Pavel Buchnevich","STL","F","Act","28","8.6","1.43","6","6","0","0","16","0","0","1","6"
"*01ex7*","F","Matt Duchene","DAL","F","Act","33","1.1","0.16","7","1","0","4","15","0","1","0","1"
"*01skr*","F","Mikael Granlund","SJS","F","Act","32","5.4","0.9","6","2","3","0","13","0","4","0","4"
"*05gvq*","F","Seth Jarvis","CAR","F","Act","22","4.7","0.67","7","1","3","2","7","0","1","0","7"
"*03wor*","F","Mason Marchment","DAL","F","Act","28","2.2","0.28","8","0","0","2","10","0","0","0","22"
"*05gd8*","F","Mason McTavish","ANA","F","Act","21","7.6","1.27","6","2","5","4","17","0","0","0","6"
"*02aez*","F","J.T. Miller","VAN","F","Act","30","17.9","2.56","7","6","7","4","22","1","4","1","29"
"*02yjj*","F","William Nylander","TOR","F","Act","27","12","1.71","7","5","7","4","26","1","3","0","0"
"*03e1m*","F","Brayden Point","TBL","F","Act","27","8.2","1.17","7","5","3","2","27","0","2","0","2"
"*04dwj*","F","Jason Robertson","DAL","F","Act","24","6","0.75","8","3","2","2","21","0","1","0","10"
"*03ne3*","F","Frank Vatrano","ANA","F","Act","29","7","1","7","5","1","12","24","0","1","0","10"
"*04ld3*","D","Noah Dobson","NYI","D","Act","24","4.7","0.78","6","0","4","4","8","0","1","0","7"
"*04yu5*","D","Thomas Harley","DAL","D","Act","22","2.6","0.33","8","0","2","2","12","0","1","0","6"
"*04lbz*","D","Quinn Hughes","VAN","D","Act","24","5.4","0.77","7","0","5","0","20","0","2","0","4"
"*02ib8*","D","Torey Krug","STL","D","Act","32","4.4","0.73","6","1","3","2","8","0","2","0","4"
"*03pim*","D","Jeremy Lauzon","NSH","D","Act","26","5.4","0.77","7","1","1","12","10","0","0","0","34"
"*04alw*","D","Cale Makar","COL","D","Act","25","4.1","0.68","6","0","4","0","12","0","1","0","1"
"*02un7*","F","Aleksander Barkov","FLA","F","Res","28","6.9","1.15","6","3","3","2","18","0","4","0","9"
"*039cg*","F","Sam Bennett","FLA","F","Res","27","4.3","0.72","6","1","1","6","28","0","0","0","23"
"*02fzj*","F","Blake Coleman","CGY","F","Res","32","5","1","5","4","0","19","13","0","0","0","10"
"*03as8*","F","Nikolaj Ehlers","WPG","F","Res","28","7.2","0.9","8","2","5","0","17","0","1","0","2"
"*04lcf*","F","Joel Farabee","PHI","F","Res","24","3.7","0.62","6","1","2","6","10","0","0","0","7"
"*01s88*","F","Adam Henrique","ANA","F","Res","34","8.1","1.16","7","3","4","2","11","0","1","0","11"
"*03167*","F","Bo Horvat","NYI","F","Res","28","4.3","0.72","6","1","3","2","20","0","1","0","3"
"*01f6d*","F","Ryan O'Reilly","NSH","F","Res","33","4","0.57","7","2","2","2","8","0","1","0","0"
"*049ph*","D","Neal Pionk","WPG","D","Res","28","4.5","0.56","8","0","2","6","15","0","1","0","25"
