"*04xec*","F","Matt Boldy","MIN","F","Act","22","3.14","1.05","3","1.36","1.57","1.49","10.25","0","1.19","0","2.18"
"*02wy7*","F","Pavel Buchnevich","STL","F","Act","28","3.96","0.99","4","1.71","1.99","2.21","9.38","0","0.99","0","2.65"
"*01ex7*","F","Matt Duchene","DAL","F","Act","33","2.25","0.75","3","1.04","1.13","0.91","6.33","0","0.62","0","0.86"
"*01skr*","F","Mikael Granlund","SJS","F","Act","32","2.22","0.74","3","0.53","1.31","1.04","5.55","0","0.86","0","3.8"
"*05gvq*","F","Seth Jarvis","CAR","F","Act","22","2.52","0.84","3","0.84","1.39","0.5","6.71","0.09","0.45","0","2.88"
"*03wor*","F","Mason Marchment","DAL","F","Act","28","2.32","0.77","3","0.76","1.13","2.59","5.99","0","0.36","0","4.31"
"*05gd8*","F","Mason McTavish","ANA","F","Act","21","2.3","0.77","3","0.89","1.14","2.38","6.17","0","0.52","0","2.72"
"*02aez*","F","J.T. Miller","VAN","F","Act","30","3.53","1.18","3","1.08","1.67","2.14","7.29","0.13","0.95","0","7.86"
"*02yjj*","F","William Nylander","TOR","F","Act","27","4.17","1.04","4","1.86","2.2","1.43","14.42","0.05","1.68","0","1.06"
"*03e1m*","F","Brayden Point","TBL","F","Act","27","1.99","1","2","1.01","0.91","0.3","5.19","0","0.45","0","0.79"
"*04dwj*","F","Jason Robertson","DAL","F","Act","24","3.85","1.28","3","1.45","2.2","0.88","10.57","0","1.37","0","2.06"
"*03ne3*","F","Frank Vatrano","ANA","F","Act","29","2.66","0.89","3","1.23","0.97","2.34","9.14","0.02","0.58","0","4.48"
"*04ld3*","D","Noah Dobson","NYI","D","Act","24","2.97","0.99","3","0.48","2.26","0.95","8.56","0","1.04","0","2.27"
"*04yu5*","D","Thomas Harley","DAL","D","Act","22","1.75","0.58","3","0.33","1.12","0.87","5.5","0","0.23","0","3.08"
"*04lbz*","D","Quinn Hughes","VAN","D","Act","24","2.51","0.84","3","0.19","2.21","1.13","5.75","0","1.03","0","1.08"
"*02ib8*","D","Torey Krug","STL","D","Act","32","2.86","0.71","4","0.48","2.08","2.88","8.38","0","1.01","0","3.01"
"*03pim*","D","Jeremy Lauzon","NSH","D","Act","26","2.49","0.62","4","0.28","0.6","4.97","5.03","0","0","0","16.13"
"*04alw*","D","Cale Makar","COL","D","Act","25","3.25","1.08","3","0.83","2.21","0.82","8.99","0.04","1.21","0","2.18"
"*02un7*","F","Aleksander Barkov","FLA","F","Res","28","4.58","1.15","4","1.43","2.81","0.94","10.79","0.08","1.51","0","3.42"
"*039cg*","F","Sam Bennett","FLA","F","Res","27","3.5","0.88","4","1.12","1.47","4.64","11.41","0","0.45","0","9.22"
"*02fzj*","F","Blake Coleman","CGY","F","Res","32","2.77","0.69","4","1.05","1.02","3.68","8.37","0.08","0.04","0","7.06"
"*03as8*","F","Nikolaj Ehlers","WPG","F","Res","28","2","0.67","3","0.81","1.07","0.45","7.4","0","0.44","0","1.25"
"*04lcf*","F","Joel Farabee","PHI","F","Res","24","1.84","0.61","3","0.64","0.93","2.38","5.93","0","0.31","0","2.78"
"*01s88*","F","Adam Henrique","ANA","F","Res","34","2.55","0.85","3","1.09","1.22","1.37","6.41","0.03","0.49","0","2.42"
"*03167*","F","Bo Horvat","NYI","F","Res","28","2.88","0.96","3","1.44","1.25","1.06","9.79","0.08","0.93","0","1.87"
"*01f6d*","F","Ryan O'Reilly","NSH","F","Res","33","2.87","0.72","4","1.17","1.59","0.81","8.02","0.05","0.66","0","1.1"
"*049ph*","D","Neal Pionk","WPG","D","Res","28","1.51","0.5","3","0.2","0.71","1.65","4.58","0","0.23","0","6.06"
