"*02un7*","F","Aleksander Barkov","FLA","F","Act","28","58.8","1.2","49","12","42","18","133","0","20","0","48"
"*04xec*","F","Matt Boldy","MIN","F","Act","22","41.5","0.88","47","19","21","40","137","0","14","0","15"
"*02fzj*","F","Blake Coleman","CGY","F","Act","32","49.9","0.91","55","21","22","42","128","4","2","0","69"
"*01ex7*","F","Matt Duchene","DAL","F","Act","33","57.1","1.06","54","22","33","10","115","0","12","0","21"
"*04lcf*","F","Joel Farabee","PHI","F","Act","23","45.3","0.81","56","17","25","29","136","0","7","0","33"
"*01s88*","F","Adam Henrique","ANA","F","Act","34","41","0.77","53","15","20","31","100","2","9","1","40"
"*05gvq*","F","Seth Jarvis","CAR","F","Act","22","51.9","0.96","54","18","26","10","127","1","13","0","79"
"*03wor*","F","Mason Marchment","DAL","F","Act","28","53.2","0.99","54","18","28","40","102","0","9","1","52"
"*02aez*","F","J.T. Miller","VAN","F","Act","30","81.9","1.46","56","24","46","43","123","1","29","0","119"
"*02yjj*","F","William Nylander","TOR","F","Act","27","73.1","1.38","53","28","43","16","219","2","28","0","21"
"*03e1m*","F","Brayden Point","TBL","F","Act","27","62.1","1.11","56","27","30","10","150","0","20","2","11"
"*04dwj*","F","Jason Robertson","DAL","F","Act","24","58.9","1.07","55","18","37","16","158","0","18","0","39"
"*04ld3*","D","Noah Dobson","NYI","D","Act","24","61.5","1.14","54","7","50","22","125","0","22","0","45"
"*04yu5*","D","Thomas Harley","DAL","D","Act","22","36.2","0.7","52","14","19","10","101","1","5","0","32"
"*04lbz*","D","Quinn Hughes","VAN","D","Act","24","67.8","1.21","56","12","54","28","130","0","25","0","18"
"*02ib8*","D","Torey Krug","STL","D","Act","32","31.4","0.58","54","2","26","26","119","0","9","0","34"
"*03pim*","D","Jeremy Lauzon","NSH","D","Act","26","31.8","0.58","55","5","4","74","66","0","0","0","228"
"*04alw*","D","Cale Makar","COL","D","Act","25","62.6","1.25","50","13","47","12","154","1","27","0","26"
"*039cg*","F","Sam Bennett","FLA","F","Res","27","34.1","0.79","43","13","14","77","96","0","10","0","71"
"*02wy7*","F","Pavel Buchnevich","STL","F","Res","28","46.6","0.9","52","18","24","40","139","2","10","1","26"
"*03as8*","F","Nikolaj Ehlers","WPG","F","Res","28","37.6","0.72","52","16","20","21","156","0","3","0","16"
"*03167*","F","Bo Horvat","NYI","F","Res","28","51.6","0.97","53","22","26","27","163","0","14","0","36"
"*05gd8*","F","Mason McTavish","ANA","F","Res","21","36.3","0.79","46","15","18","70","100","1","8","0","33"
"*01f6d*","F","Ryan O'Reilly","NSH","F","Res","33","50.9","0.93","55","20","27","10","134","0","21","1","19"
"*03ne3*","F","Frank Vatrano","ANA","F","Res","29","55.3","1.02","54","24","18","57","167","2","16","2","93"
"*049ph*","D","Neal Pionk","WPG","D","Res","28","31.7","0.61","52","4","16","41","99","0","5","0","117"
"*01skr*","F","Mikael Granlund","SJS","F","IR","31","34.7","0.85","41","6","25","20","80","0","10","0","37"
