"*02un7*","F","Aleksander Barkov","FLA","F","Act","28","8.9","0.89","10","2","6","2","22","0","5","0","9"
"*04xec*","F","Matt Boldy","MIN","F","Act","22","14.6","1.46","10","7","7","4","45","0","4","0","6"
"*01ex7*","F","Matt Duchene","DAL","F","Act","33","12.7","1.27","10","6","6","6","19","0","3","0","7"
"*01s88*","F","Adam Henrique","ANA","F","Act","34","9.8","0.98","10","1","7","7","21","0","1","0","18"
"*05gvq*","F","Seth Jarvis","CAR","F","Act","22","11.5","1.05","11","3","7","2","21","1","3","0","15"
"*03wor*","F","Mason Marchment","DAL","F","Act","28","14.3","1.3","11","3","8","4","21","0","5","0","33"
"*02aez*","F","J.T. Miller","VAN","F","Act","30","20.2","1.68","12","8","7","12","39","0","4","1","32"
"*02yjj*","F","William Nylander","TOR","F","Act","27","17.3","1.57","11","8","9","8","41","1","9","0","3"
"*01f6d*","F","Ryan O'Reilly","NSH","F","Act","33","6.3","0.57","11","3","3","2","20","0","2","0","3"
"*03e1m*","F","Brayden Point","TBL","F","Act","27","10.3","0.94","11","7","3","2","35","0","2","0","3"
"*04dwj*","F","Jason Robertson","DAL","F","Act","24","9.3","0.85","11","2","6","2","24","0","1","0","13"
"*03ne3*","F","Frank Vatrano","ANA","F","Act","29","13.4","1.34","10","5","6","12","26","0","5","0","24"
"*04ld3*","D","Noah Dobson","NYI","D","Act","24","10.5","1.17","9","1","8","2","21","0","3","0","15"
"*04yu5*","D","Thomas Harley","DAL","D","Act","22","7.8","0.71","11","4","3","0","28","0","1","0","8"
"*04lbz*","D","Quinn Hughes","VAN","D","Act","24","11.4","0.95","12","0","11","4","28","0","6","0","4"
"*02ib8*","D","Torey Krug","STL","D","Act","32","9.9","0.99","10","1","8","2","21","0","3","0","9"
"*03pim*","D","Jeremy Lauzon","NSH","D","Act","26","9.1","0.83","11","1","2","21","12","0","0","0","61"
"*04alw*","D","Cale Makar","COL","D","Act","25","3.5","0.35","10","1","2","0","30","0","1","0","5"
"*039cg*","F","Sam Bennett","FLA","F","Res","27","7.3","0.73","10","2","3","12","23","0","1","0","23"
"*02wy7*","F","Pavel Buchnevich","STL","F","Res","28","11.4","1.14","10","6","3","10","22","0","3","1","4"
"*02fzj*","F","Blake Coleman","CGY","F","Res","32","6.9","0.69","10","3","2","25","22","0","0","0","19"
"*03as8*","F","Nikolaj Ehlers","WPG","F","Res","28","4.1","0.41","10","2","2","0","23","0","0","0","1"
"*04lcf*","F","Joel Farabee","PHI","F","Res","24","4","0.4","10","0","3","4","26","0","1","0","10"
"*01skr*","F","Mikael Granlund","SJS","F","Res","32","3.4","0.68","5","2","1","6","13","0","1","0","4"
"*03167*","F","Bo Horvat","NYI","F","Res","28","4.5","0.5","9","2","2","9","28","0","0","0","5"
"*05gd8*","F","Mason McTavish","ANA","F","Res","21","10.5","1.17","9","4","5","12","23","0","0","0","15"
"*049ph*","D","Neal Pionk","WPG","D","Res","28","4","0.4","10","0","2","9","22","0","1","0","20"
